size,time_ms,theoretical_ops
16,0.031042,7936
32,0.20925,64512
64,1.55337,520192
128,13.5308,3715072
256,96.9497,26300416
512,706.563,185282560
1024,4994.3,1301696512
2048,35451.9,9130749952
